,count,mean,std,min,25%,50%,75%,max
SK_ID_CURR,307511.0,278180.51857657125,102790.17534842459,100002.0,189145.5,278202.0,367142.5,456255.0
TARGET,307511.0,0.08072881945686496,0.27241864564839396,0.0,0.0,0.0,0.0,1.0
CNT_CHILDREN,307511.0,0.4170517477423572,0.7221213844376252,0.0,0.0,0.0,1.0,19.0
AMT_INCOME_TOTAL,307511.0,168797.9192969845,237123.1462788562,25650.0,112500.0,147150.0,202500.0,117000000.0
AMT_CREDIT,307511.0,599025.9997057016,402490.7769958549,45000.0,270000.0,513531.0,808650.0,4050000.0
AMT_ANNUITY,307499.0,27108.573909183444,14493.737315118335,1615.5,16524.0,24903.0,34596.0,258025.5
AMT_GOODS_PRICE,307233.0,538396.2074288895,369446.46054005757,40500.0,238500.0,450000.0,679500.0,4050000.0
REGION_POPULATION_RELATIVE,307511.0,0.020868112057780035,0.013831280122704704,0.00029,0.010006,0.01885,0.028663,0.072508
DAYS_BIRTH,307511.0,-16036.995066843137,4363.98863178556,-25229.0,-19682.0,-15750.0,-12413.0,-7489.0
DAYS_EMPLOYED,307511.0,63815.04590404896,141275.76651872724,-17912.0,-2760.0,-1213.0,-289.0,365243.0
DAYS_REGISTRATION,307511.0,-4986.120327538418,3522.8863209630713,-24672.0,-7479.5,-4504.0,-2010.0,0.0
DAYS_ID_PUBLISH,307511.0,-2994.2023732484367,1509.4504190030232,-7197.0,-4299.0,-3254.0,-1720.0,0.0
OWN_CAR_AGE,104582.0,12.061090818687727,11.94481158224276,0.0,5.0,9.0,15.0,91.0
FLAG_MOBIL,307511.0,0.9999967480838083,0.001803307015351493,0.0,1.0,1.0,1.0,1.0
FLAG_EMP_PHONE,307511.0,0.8198893698111612,0.3842801989387643,0.0,1.0,1.0,1.0,1.0
FLAG_WORK_PHONE,307511.0,0.1993684778755882,0.3995262281502265,0.0,0.0,0.0,0.0,1.0
FLAG_CONT_MOBILE,307511.0,0.9981334001060125,0.04316389414243239,0.0,1.0,1.0,1.0,1.0
FLAG_PHONE,307511.0,0.28106636835755466,0.44952054685675835,0.0,0.0,0.0,1.0,1.0
FLAG_EMAIL,307511.0,0.0567199222141647,0.23130703972270758,0.0,0.0,0.0,0.0,1.0
CNT_FAM_MEMBERS,307509.0,2.152665450442101,0.9106815691792972,1.0,2.0,2.0,3.0,20.0
REGION_RATING_CLIENT,307511.0,2.0524631639193394,0.50903390281568,1.0,2.0,2.0,2.0,3.0
REGION_RATING_CLIENT_W_CITY,307511.0,2.031520823645333,0.5027370329147687,1.0,2.0,2.0,2.0,3.0
HOUR_APPR_PROCESS_START,307511.0,12.063418869568894,3.265832255437871,0.0,10.0,12.0,14.0,23.0
REG_REGION_NOT_LIVE_REGION,307511.0,0.015144173704355291,0.12212647628215205,0.0,0.0,0.0,0.0,1.0
REG_REGION_NOT_WORK_REGION,307511.0,0.05076891558350758,0.21952582879696064,0.0,0.0,0.0,0.0,1.0
LIVE_REGION_NOT_WORK_REGION,307511.0,0.04065870814377372,0.19749861882842365,0.0,0.0,0.0,0.0,1.0
REG_CITY_NOT_LIVE_CITY,307511.0,0.07817281333025486,0.26844377237340455,0.0,0.0,0.0,0.0,1.0
REG_CITY_NOT_WORK_CITY,307511.0,0.23045354475124466,0.4211238359138973,0.0,0.0,0.0,0.0,1.0
LIVE_CITY_NOT_WORK_CITY,307511.0,0.17955455252007246,0.38381661538559586,0.0,0.0,0.0,0.0,1.0
EXT_SOURCE_1,134133.0,0.5021298056566624,0.21106224927392495,0.0145681324124455,0.3340072886740926,0.5059979305057544,0.6750525982300696,0.962692770561306
