,column,dtype
0,SK_ID_CURR,int64
1,TARGET,int64
2,NAME_CONTRACT_TYPE,object
3,CODE_GENDER,object
4,FLAG_OWN_CAR,object
5,FLAG_OWN_REALTY,object
6,CNT_CHILDREN,int64
7,AMT_INCOME_TOTAL,float64
8,AMT_CREDIT,float64
9,AMT_ANNUITY,float64
10,AMT_GOODS_PRICE,float64
11,NAME_TYPE_SUITE,object
12,NAME_INCOME_TYPE,object
13,NAME_EDUCATION_TYPE,object
14,NAME_FAMILY_STATUS,object
15,NAME_HOUSING_TYPE,object
16,REGION_POPULATION_RELATIVE,float64
17,DAYS_BIRTH,int64
18,DAYS_EMPLOYED,int64
19,DAYS_REGISTRATION,float64
20,DAYS_ID_PUBLISH,int64
21,OWN_CAR_AGE,float64
22,FLAG_MOBIL,int64
23,FLAG_EMP_PHONE,int64
24,FLAG_WORK_PHONE,int64
25,FLAG_CONT_MOBILE,int64
26,FLAG_PHONE,int64
27,FLAG_EMAIL,int64
28,OCCUPATION_TYPE,object
29,CNT_FAM_MEMBERS,float64
30,REGION_RATING_CLIENT,int64
31,REGION_RATING_CLIENT_W_CITY,int64
32,WEEKDAY_APPR_PROCESS_START,object
33,HOUR_APPR_PROCESS_START,int64
34,REG_REGION_NOT_LIVE_REGION,int64
35,REG_REGION_NOT_WORK_REGION,int64
36,LIVE_REGION_NOT_WORK_REGION,int64
37,REG_CITY_NOT_LIVE_CITY,int64
38,REG_CITY_NOT_WORK_CITY,int64
39,LIVE_CITY_NOT_WORK_CITY,int64
40,ORGANIZATION_TYPE,object
41,EXT_SOURCE_1,float64
42,EXT_SOURCE_2,float64
43,EXT_SOURCE_3,float64
44,APARTMENTS_AVG,float64
45,BASEMENTAREA_AVG,float64
46,YEARS_BEGINEXPLUATATION_AVG,float64
47,YEARS_BUILD_AVG,float64
48,COMMONAREA_AVG,float64
49,ELEVATORS_AVG,float64
50,ENTRANCES_AVG,float64
51,FLOORSMAX_AVG,float64
52,FLOORSMIN_AVG,float64
53,LANDAREA_AVG,float64
54,LIVINGAPARTMENTS_AVG,float64
55,LIVINGAREA_AVG,float64
56,NONLIVINGAPARTMENTS_AVG,float64
57,NONLIVINGAREA_AVG,float64
58,APARTMENTS_MODE,float64
59,BASEMENTAREA_MODE,float64
60,YEARS_BEGINEXPLUATATION_MODE,float64
61,YEARS_BUILD_MODE,float64
62,COMMONAREA_MODE,float64
63,ELEVATORS_MODE,float64
64,ENTRANCES_MODE,float64
65,FLOORSMAX_MODE,float64
66,FLOORSMIN_MODE,float64
67,LANDAREA_MODE,float64
68,LIVINGAPARTMENTS_MODE,float64
69,LIVINGAREA_MODE,float64
70,NONLIVINGAPARTMENTS_MODE,float64
71,NONLIVINGAREA_MODE,float64
