,column,dtype,nunique,unique_values
0,NAME_TYPE_SUITE,category,7,"['Unaccompanied', NaN, 'Family', 'Spouse, partner', 'Group of people', 'Other_B', 'Children', 'Other_A']
Categories (7, object): ['Children', 'Family', 'Group of people', 'Other_A', 'Other_B', 'Spouse, partner', 'Unaccompanied']"
1,NAME_INCOME_TYPE,category,5,"['Working', 'State servant', 'Pensioner', 'Commercial associate', 'Others']
Categories (5, object): ['Commercial associate', 'Others', 'Pensioner', 'State servant', 'Working']"
2,NAME_EDUCATION_TYPE,category,5,"['Higher education', 'Secondary / secondary special', 'Incomplete higher', 'Lower secondary', 'Academic degree']
Categories (5, object): ['Academic degree', 'Higher education', 'Incomplete higher', 'Lower secondary', 'Secondary / secondary special']"
3,NAME_FAMILY_STATUS,category,5,"['Married', 'Single / not married', 'Civil marriage', 'Widow', 'Separated']
Categories (5, object): ['Civil marriage', 'Married', 'Separated', 'Single / not married', 'Widow']"
4,NAME_HOUSING_TYPE,category,6,"['House / apartment', 'With parents', 'Rented apartment', 'Municipal apartment', 'Office apartment', 'Co-op apartment']
Categories (6, object): ['Co-op apartment', 'House / apartment', 'Municipal apartment', 'Office apartment', 'Rented apartment', 'With parents']"
5,OCCUPATION_TYPE,category,18,"[NaN, 'Low-skill Laborers', 'Drivers', 'Sales staff', 'High skill tech staff', ..., 'Cooking staff', 'HR staff', 'Waiters/barmen staff', 'Realty agents', 'IT staff']
Length: 19
Categories (18, object): ['Accountants', 'Cleaning staff', 'Cooking staff', 'Core staff', ..., 'Sales staff', 'Secretaries', 'Security staff', 'Waiters/barmen staff']"
6,WEEKDAY_APPR_PROCESS_START,category,7,"['TUESDAY', 'FRIDAY', 'MONDAY', 'WEDNESDAY', 'THURSDAY', 'SATURDAY', 'SUNDAY']
Categories (7, object): ['FRIDAY', 'MONDAY', 'SATURDAY', 'SUNDAY', 'THURSDAY', 'TUESDAY', 'WEDNESDAY']"
7,ORGANIZATION_TYPE,category,8,"['others_2', 'self-employed', 'transport', 'business', 'industry', 'trade', 'unknown', 'others_1']
Categories (8, object): ['business', 'industry', 'others_1', 'others_2', 'self-employed', 'trade', 'transport', 'unknown']"
8,FONDKAPREMONT_MODE,category,4,"[NaN, 'reg oper account', 'not specified', 'org spec account', 'reg oper spec account']
Categories (4, object): ['not specified', 'org spec account', 'reg oper account', 'reg oper spec account']"
9,HOUSETYPE_MODE,category,3,"['block of flats', NaN, 'specific housing', 'terraced house']
Categories (3, object): ['block of flats', 'specific housing', 'terraced house']"
10,WALLSMATERIAL_MODE,category,7,"['Stone, brick', NaN, 'Panel', 'Block', 'Wooden', 'Mixed', 'Monolithic', 'Others']
Categories (7, object): ['Block', 'Mixed', 'Monolithic', 'Others', 'Panel', 'Stone, brick', 'Wooden']"
